en,pt_br
throne,trono
deadly,mortal
bee,abelha
tooth,dente
depressed,deprimido
potatoes,batatas
wicked,malvado
resources,recursos
native,nativo
centuries,séculos
karl,Carlos
poetry,poesia
multiple,múltiplos
cable,cabo
shortly,em breve
buzz,zumbido
socks,meias
fingerprints,impressões digitais
goddess,deusa
chin,queixo
anxious,ansioso
september,setembro
colors,cores
basketball,basquetebol
promises,promessas
explained,explicado
appearance,aparência
musical,musical
sends,envia
slide,deslizar
aii,aii
shawn,Shawn
ultimate,final
pork,carne de porco
communication,comunicação
payment,pagamento
structure,estrutura
paperwork,papelada
obsessed,obcecado
lazy,preguiçoso
russians,russos
actors,atores
squeeze,espremer
magical,mágico
colleagues,colegas
admire,admirar
madness,loucura
roads,estradas
entry,entrada
injury,ferida
burden,fardo
racing,corrida
freezing,congelando
bits,pedaços
norman,normando
mount,montaria
battery,bateria
dessert,sobremesa
pound,libra
motel,motel
rumbling,estrondoso
cinema,cinema
fond,afeiçoado
halfway,na metade do caminho
rifle,rifle
reception,recepção
statue,estátua
fridge,geladeira
brick,tijolo
abandon,abandonar
lap,colo
natalie,Natália
wars,guerras
recommend,recomendar
brush,escovar
nelson,Nelson
pill,pílula
concept,conceito
delay,atraso
quarters,quartos
korea,Coréia
janet,Janete
rub,esfregar
mall,shopping center
soil,solo
complaint,reclamação
sail,velejar
baker,padeiro
coughs,tosses
bucket,balde
description,descrição
badge,distintivo
measure,medir
hip,quadril
function,função
indistinctly,indistintamente
harris,Harris
foundation,fundação
labor,trabalho
willie,Willie
waiter,garçom
homeless,morador de rua
proved,provado
unfortunate,infeliz
log,registro
meetings,reuniões
giggles,risos
combat,combate
poem,poema
polish,polonês
handed,entregue
mia,minha
weed,erva
raymond,Raymond
tons,toneladas
satellite,satélite
jersey,camisa
eagle,águia
privacy,privacidade
chapter,capítulo
treating,tratando
wisdom,sabedoria
flip,virar
entering,entrando
barn,celeiro
farmer,agricultor
clan,clã
budget,orçamento
pub,pub
temporary,temporário
effective,eficaz
sonny,filho
wendy,Wendy
juan,João
lamb,cordeiro
plot,trama
riley,Riley
proposal,proposta
sticks,gravetos
searched,pesquisado
blessing,bênção
rage,raiva
bothered,incomodado
sydney,Sidney
basis,base
manners,boas maneiras
recover,recuperar
twist,torção
neil,Neil
leak,vazar
item,item
catholic,católico
sighing,suspirando
retired,aposentado
kings,reis
inner,interno
cents,centavos
affect,afetar
forbidden,proibido
patch,correção
drops,gotas
necessarily,necessariamente
provided,oferecido
meters,metros
booked,reservado
returns,retornos
gloria,glória
fires,incêndios
humor,humor
torn,rasgado
e-mail,e-mail
rocky,rochoso
introduced,introduzido
creative,criativo
betray,trair
soviet,soviético
various,vários
added,adicionado
discovery,descoberta
cowboy,vaqueiro
suspected,suspeito
suggested,sugerido
delighted,encantado
sticking,colando
dive,mergulho
shane,Shane
radar,radar
prosecutor,promotor
amber,âmbar
vast,grande
quinn,Quinn
owned,controlado
cookie,biscoito
finest,o melhor
felix,Félix
pump,bombear
valentine,dia dos namorados
counter,contador
sorts,tipos
coin,moeda
warren,coelhinho
slaves,escravos
marine,marinho
illness,doença
sack,saco
bid,oferta
moscow,Moscou
largest,maior
achieve,alcançar
causes,causas
mo,mês
dope,droga
nest,ninho
palm,palma
logan,Logan
constant,constante
boo,vaia
medication,medicamento
gravity,gravidade
booze,bebida
noah,Noé
evan,Evan
abroad,fora do país
christine,Cristina
analysis,análise
cuts,cortes
eats,come
employee,funcionário
vodka,vodka
damaged,danificado
solar,solar
height,altura
pops,estoura
yards,jardas
terrified,aterrorizado
suitcase,mala
chemical,químico
preparing,preparando
advanced,avançado
fund,fundo
wears,veste
chirping,chilrear
web,rede
phase,fase
prom,baile de formatura
suggesting,sugerindo
fleet,frota
lame,muito ruim
irish,irlandês
editor,editor
october,outubro
assumed,assumido
whip,chicote
region,região
amongst,entre
temper,temperamento
discussion,discussão
engines,motores
operate,operar
sunshine,luz do sol
acted,agiu
undercover,disfarçado
horror,horror
tested,testado
smash,esmagar
contrary,contrário
roses,rosas
poker,pôquer
wrapped,envolto
korean,coreano
graham,graham
ivan,ivan
focused,focado
liam,Liam
tragic,trágico
carla,carla
demons,demônios
rounds,rodadas
entertainment,entretenimento
gathered,coletado
yells,grita
lincoln,Lincoln
crossing,cruzamento
blanket,cobertor
nut,noz
travis,Travis
pockets,bolsos
limited,limitado
paintings,pinturas
sober,sóbrio
caesar,César
sis,irmã
intended,pretendido
niece,sobrinha
computers,computadores
tennis,tênis
needle,agulha
chicks,pintinhos
traditional,tradicional
delicate,delicado
independent,independente
leslie,Leslie
lauren,Lauren
grandson,neto
repair,reparar
brandon,Brandon
executive,executivo
colin,Colin
recognized,reconhecido
holmes,Holmes
regarding,a respeito de
weakness,fraqueza
aliens,alienígenas
gunshots,tiros
european,europeu
method,método
tool,ferramenta
demands,demandas
permit,permitir
towel,toalha
daisy,margarida
nowadays,hoje em dia
spider,aranha
northern,norte
rangers,guardas florestais
zoo,jardim zoológico
praying,rezando
antonio,Antônio
passengers,passageiros
con,vigarista
australia,Austrália
technique,técnica
cellphone,celular
gently,suavemente
operations,operações
planes,aviões
bunny,coelhinho
gunfire,tiros
shining,brilhando
backwards,para trás
skill,habilidade
uh-,uh-
baron,barão
kidnapping,sequestro
marshal,marechal
petty,pequeno
sealed,selado
massage,massagem
raising,subindo
menu,menu
diary,diário
fucker,Idiota
wagon,vagão
audition,audição
mitch,Mitch
mexican,mexicano
casino,cassino
bacon,bacon
diego,Diego
dutch,holandês
promotion,promoção
click,clique
forgiveness,perdão
burst,explodido
permanent,permanente
interfere,interferir
chanting,cantando
dammit,droga
spencer,spencer
recovered,recuperado
registered,registrado
sunny,ensolarado
packing,embalagem
scenes,cenas
superman,super-homem
questioning,questionando
unfair,injusto
admitted,admitido
ancestors,ancestrais
polite,educado
completed,concluído
swallow,engolir
conduct,conduta
prayers,orações
sheet,folha
fried,frito
poisoned,envenenado
reverse,reverter
newspapers,jornais
ford,vau
complaining,reclamando
senses,sentidos
investment,investimento
absurd,absurdo
potato,batata
understands,entende
grows,cresce
inspired,inspirado
ruby,rubi
celebrating,comemorando
tag,marcação
ram,bater
requires,requer
bonnie,Bonnie
bugs,insetos
leonard,Leonardo
elliot,Elliot
hooked,fisgado
jill,Jill
ranch,rancho
safer,mais seguro
worn,desgastado
crashing,quebrando
lands,terras
heather,Mesclado
ash,cinzas
grounds,motivos
assuming,assumindo
nails,unhas
dana,Dana
conspiracy,conspiração
pierre,Pedro
guardian,guardião
rumors,rumores
yen,iene
megan,Megan
ashes,cinzas
terror,terror
misunderstanding,mal-entendido
tire,pneu
boats,barcos
parade,parada
halt,parar
immunity,imunidade
adults,adultos
steam,vapor
kang,canguru
closely,de perto
pearl,pérola
soccer,futebol
adrian,Adriano
priority,prioridade
shouts,gritos
donald,Donald
happier,mais feliz
khan,cã
struggling,lutando
root,raiz
larger,maior
november,novembro
boot,bota
conflict,conflito
laughed,sorriu
debbie,Débora
cherry,cereja
honking,buzinando
concerns,preocupações
celebration,celebração
sore,dolorido
unconscious,inconsciente
cattle,gado
breasts,seios
fairly,com justiça
fee,taxa
recognise,reconhecer
wade,vadear
radiation,radiação
holidays,feriados
raining,chovendo
forgetting,esquecendo
lungs,pulmões
register,registrar
shadows,sombras
specifically,especificamente
sarge,sargento
ideal,ideal
turtle,tartaruga
spoil,estragar
deserved,merecido
ronnie,Ronnie
gina,gina
candidate,candidato
lance,lança
types,tipos
bloke,cara
explode,explodir
immediate,imediato
belonged,pertencia
identified,identificado
hunger,fome
combination,combinação
nanny,babá
seth,Seth
gabriel,Gabriel
develop,desenvolver
detectives,detetives
severe,forte
en,em
organized,organizado
franklin,Franklin
gut,intestino
splendid,esplêndido
dismissed,demitido
pm,tarde / noite
yang,yang
halloween,dia das Bruxas
ellie,Ellie
vulnerable,vulnerável
continued,continuou
vital,vital
comrades,camaradas
bureau,escritório
drawer,gaveta
retreat,retiro
carson,Carson
benny,Benny
pillow,travesseiro
troy,Tróia
ace,ás
cart,carrinho
nap,sesta
chan,Chan
ham,presunto
announce,anunciar
borrowed,emprestado
parked,estacionado
galaxy,galáxia
voted,votou
muffled,abafado
sebastian,sebastião
mmm-hmm,mmm-hmm
jewelry,joia
kisses,beijos
luggage,bagagem
groom,noivo
oops,opa
lighter,isqueiro
masters,mestres
alliance,aliança
buddies,amigos
clothing,roupas
denied,negado
drown,afogar
alike,parecido
excellency,excelência
relative,parente
photographs,fotografias
burger,hambúrguer
dough,massa
alicia,Alicia
wreck,naufrágio
approve,aprovar
produced,produzido
christina,Cristina
physically,fisicamente
stations,estações
samantha,Samantha
spiritual,espiritual
sire,pai
roaring,rugindo
stab,facada
inch,polegada
servants,servos
limits,limites
unexpected,inesperado
arrival,chegada
whimpering,choramingando
basket,cesta
sheets,folhas
scandal,escândalo
stink,fedor
homer,Homero
tara,tara
christopher,Cristóvão
toes,dedos do pé
t-,t-
shield,escudo
shooter,atirador
instant,instantâneo
objects,objetos
rehearsal,ensaio
disturbing,perturbador
directed,dirigido
scan,escanear
electronic,eletrônico
republic,república
overnight,durante a noite
counsel,conselho
sirens,sirenes
dorothy,Dorothy
bait,isca
dignity,dignidade
explains,explica
lean,magro
heroin,heroína
tracy,Tracy
rex,rex
barney,Barney
gossip,fofoca
humble,humilde
economy,economia
worlds,mundos
impress,impressionar
clara,Clara
tissue,tecido
threaten,ameaçar
et,e
bump,ressalto
supreme,supremo
bingo,Bingo
mitchell,Mitchell
excitement,excitação
mankind,humanidade
document,documento
broad,largo
vietnam,Vietnã
vessel,navio
lit,aceso
dale,vale
killers,assassinos
connor,Connor
mario,Mário
foul,falta
stare,olhar fixamente
deaths,mortes
hut,cabana
elements,elementos
coma,coma
laying,deitado
coffin,caixão
paula,paula
cocaine,cocaína
puppy,filhote de cachorro
louder,mais alto
handled,manipulado
announcement,anúncio
oath,juramento
mob,multidão
cotton,algodão
deposit,depósito
taxes,impostos
injuries,ferimentos
jen,Jen
autopsy,autópsia
advise,conselho
gig,show
lecture,palestra
posted,postado
skinny,magrelo
include,incluir
revealed,revelado
infected,infetado
relieved,aliviado
assistance,assistência
solo,solo
determine,determinar
terrorists,terroristas
elsewhere,em outro lugar
lamp,lâmpada
practical,prático
marked,marcado
adorable,adorável
rubber,borracha
purple,roxo
operating,operacional
suite,suíte
apologies,desculpas
personnel,pessoal
beam,feixe
poet,poeta
samples,amostras
arrow,seta
counselor,conselheiro
carpet,tapete
allen,Allen
audrey,Audrey
spotted,identificado
floating,flutuante
corrected,corrigido
located,localizado
journalist,jornalista
insisted,insistiu
operator,operador
rely,confiar
singh,singh
fooled,enganado
arrives,chega
i.d.,identidade
leon,leão
walt,valsa
eastern,oriental
ay,sim
shave,depilar
remaining,restante
toss,jogar
anderson,anderson
lip,lábio
acid,ácido
nora,nora
december,dezembro
anonymous,anônimo
inn,Pousada
planted,plantado
oldest,mais velho
breast,seios
sixth,sexto
error,erro
reporting,relatórios
egypt,Egito
islands,ilhas
brother-in-law,cunhado
jules,Júlio
roommate,colega de quarto
sings,canta
scum,escumalha
visitor,Visitante
giggling,rindo
described,descrito
geez,nossa
inches,polegadas
commitment,compromisso
hercules,Hércules
react,reagir
cows,vacas
protest,protesto
misery,miséria
theft,roubo
embrace,abraçar
darn,droga
harsh,severo
andrea,Andréa
communicate,comunicar
fathers,pais
faithful,fiel
hector,Heitor
uh-uh,uh-uh
flame,chama
medal,medalha
silk,seda
photographer,fotógrafo
trevor,Trevor
cemetery,cemitério
rear,traseira
freddy,Freddy
banana,banana
allison,Alisson
emotion,emoção
chap,rachar
dated,datado
excuses,desculpas
shitty,uma merda
bin,lixeira
jew,judeu
gum,goma
crushed,esmagado
efforts,esforços
content,contente
corporal,corporal
realised,percebeu
del,do
rap,rap
hopeless,sem esperança
debate,debate
era,era
luckily,felizmente
ton,tonelada
liquid,líquido
swell,inchar
peggy,Peggy
feast,celebração
murphy,Murphy
attracted,atraído
application,aplicativo
profession,profissão
bench,banco
vanessa,vanessa
ahem,ahem
symptoms,sintomas
scout,escoteiro
crashed,caiu
keen,ansioso
aircraft,aeronave
formed,formado
hon,querida
aggressive,agressivo
pale,pálido
significant,significativo
duncan,Duncan
clubs,clubes
embassy,embaixada
defence,defesa
cabinet,gabinete
display,mostrar
fame,fama
gibbs,Gibbs
drowned,afogado
wolves,lobos
filming,filmando
dunno,não sei
cursed,amaldiçoado
twin,gêmeo
sorrow,tristeza
vault,cofre
defeated,derrotado
watson,Watson
quote,citar
bargain,negociar
pepper,pimenta
speaker,palestrante
compare,comparar
satan,satan
helmet,capacete
scar,cicatriz
copies,cópias
fuss,confusão
envelope,envelope
perry,perada
stinks,fede
african,africano
arrangements,arranjos
wished,desejado
honored,honrado
believing,acreditando
discussed,discutido
assigned,atribuído
rosa,rosa
oven,forno
jenna,Jenna
attacking,atacante
tin,estanho
sonic,sônico
collar,colarinho
mere,simples
romeo,Romeu
belief,crença
storage,armazenar
rusty,oxidado
psycho,psicopata
climbing,escalando
melissa,Melissa
fears,medos
sum,soma
dedicated,dedicado
ladder,escada
alternative,alternativa
raid,ataque
dining,jantar
ms,EM
corporate,corporativo
folk,povo
jon,Jon
replaced,substituído
bailey,pátio
un,un
heels,salto
duties,obrigações
smarter,mais inteligente
existed,existia
surprising,surpreendente
chess,xadrez
requested,solicitado
cruise,cruzeiro
primary,primário
rhythm,ritmo
drum,tambor
models,modelos
motorcycle,motocicleta
adopted,adotado
barrel,barril
cargo,carga
planets,planetas
shove,empurrão
wha,o quê
surprises,surpresas
rosie,Rosie
dings,amassados
trailer,reboque
cannon,canhão
tables,tabelas
arse,bunda
ally,aliado
lawrence,Lawrence
wee,pequenino
tapes,fitas
dull,chato
sandra,Sandra
teenage,adolescente
kent,Kent
cooperate,cooperar
risks,riscos
dug,cavou
worthless,inútil
arriving,chegando
kindness,gentileza
ties,laços
items,Unid
and-,e-
grip,pegada
relations,relações
rumor,rumor
skirt,saia
frog,sapo
paige,Paige
lloyd,Lloyd
claimed,reivindicado
perfume,perfume
instrumental,instrumental
flames,chamas
association,associação
loses,perde
january,janeiro
spike,espinho
israel,Israel
eleven,onze
gallery,galeria
ginger,ruivo
activities,atividades
iraq,Iraque
boarding,embarque
fist,punho
stuffed,recheado
improve,melhorar
creation,criação
connie,Connie
infection,infecção
strikes,greves
wiped,limpou
tension,tensão
whistles,apitos
kindly,gentilmente
certificate,certificado
curtis,curtis
bold,audacioso
threats,ameaças
claudia,Cláudia
sid,lado
twisted,torcido
suspended,suspenso
affected,afetados
envy,inveja
dial,discar
cameron,cameron
martial,marcial
controlled,controlado
lung,pulmão
coal,carvão
upside,lado positivo
imperial,imperial
pam,Pam
paranoid,paranóico
signing,assinando
villa,vila
candles,velas
filling,enchimento
becky,Becky
comic,história em quadrinhos
faint,desmaiar
recovery,recuperação
volunteer,voluntário
tech,tecnologia
bleed,sangrar
positions,posições
cindy,Cindy
narrow,estreito
forbid,proibir
stuart,Stuart
perspective,perspectiva
faced,enfrentou
neat,organizado
pierce,perfurar
observe,observar
cycle,ciclo
psychic,psíquico
handling,manuseio
goose,ganso
accidentally,acidentalmente
conclusion,conclusão
designer,designer
sits,senta
importance,importância
spots,manchas
francs,francos
sweep,varrer
destroying,destruindo
communist,comunista
blackmail,chantagem
pacific,pacífico
risky,arriscado
filed,arquivado
hatred,ódio
cam,câmera
deals,negócios
pos,pos
fooling,enganando
persons,pessoas
scotch,uísque
executed,executado
brakes,freios
blank,em branco
tender,macio
kurt,Kurt
turner,torneiro
tub,banheira
sucker,otário
slight,pouco
addition,adição
campus,campus
ritual,ritual
prey,presa
so-called,assim chamado
graduate,diplomado
anyways,de qualquer forma
ew,eca
fry,fritar
genuine,genuíno
ned,ned
judging,julgando
warden,diretor
ceiling,teto
practicing,praticando
somewhat,de alguma forma
established,estabelecido
attempted,tentou
zombie,zumbi
generations,gerações
yöu,você
gathering,reunião
warriors,guerreiros
mick,mick
collins,Collins
sobs,soluços
couples,casais
depend,depender
institute,instituto
miranda,Miranda
principle,princípio
fixing,consertando
therapist,terapeuta
compete,competir
compliment,elogio
worship,adorar
residence,residência
democracy,democracia
joel,Joel
published,publicado
myth,mito
helpless,desamparado
screwing,parafusando
kennedy,Kennedy
execution,execução
appetite,apetite
formal,formal
strictly,estritamente
sucked,sugado
tanks,tanques
chickens,galinhas
gwen,Gwen
technical,técnico
stella,Stella
rod,haste
meets,encontra
shepherd,pastor
brazil,brasil
brutal,brutal
alison,Alison
vain,vão
switched,comutado
deer,cervo
brooklyn,Brooklyn
dresses,vestidos
retire,aposentar
overcome,superar
inspiration,inspiração
cunt,boceta
benjamin,benjamin
nicky,Nicky
thrilled,entusiasmado
tae,tae
suggestion,sugestão
dummy,fictício
sailor,marinheiro
destination,destino
bass,baixo
picnic,piquenique
assholes,idiotas
idol,ídolo
trucks,caminhões
rank,classificação
denise,Denise
yu,você
veronica,Verônica
blocked,bloqueado
strict,estrito
hiya,oi
formula,fórmula
clerk,atendente
samurai,samurai
disturbed,perturbado
vera,vera
cafe,café
wandering,vagando
consciousness,consciência
val,vale
nikki,Nikki
min,min
bare,nua
hans,Hans
caleb,Calebe
butcher,açougueiro
arrangement,arranjo
chased,perseguido
ministry,ministério
brandy,conhaque
sweater,suéter
boobs,peitos
apologise,desculpar-se
nazi,nazista
parole,liberdade condicional
examine,examinar
trains,trens
candle,vela
prior,anterior
stream,fluxo
passage,passagem
reaching,alcançando
organ,órgão
directions,instruções
asses,jumentos
outer,exterior
proves,prova
morris,morris
luxury,luxo
pistol,pistola
losers,perdedores
funds,fundos
sunset,pôr do sol
strings,cordas
fortunately,felizmente
gotcha,entendi
tomb,túmulo
freddie,Freddie
but-,mas-
engineering,engenharia
element,elemento
balloon,balão
broadcast,transmissão
spray,pulverizar
ninja,ninja
eternity,eternidade
handy,útil
crawl,arrastar
slice,fatiar
nations,nações
behaviour,comportamento
pace,ritmo
stiff,duro
lick,lamber
concrete,concreto
allah,Alá
vegetables,vegetais
euros,euros
sausage,salsicha
constable,polícia
spinning,fiação
rolls,rolos
genetic,genético
loudly,ruidosamente
old-fashioned,antiquado
marvelous,maravilhoso
subway,metrô
scheme,esquema
performed,realizado
ex-wife,ex-esposa
plug,plugue
rejected,rejeitado
brenda,Brenda
respected,respeitado
backs,costas
protocol,protocolo
muscles,músculos
kidney,rim
finishing,acabamento
products,produtos
im,eu sou
invasion,invasão
affection,afeição
woody,lenhoso
endless,sem fim
discipline,disciplina
horns,chifres
absence,ausência
waking,acordando
dudes,caras
philosophy,filosofia
cracked,rachado
nicholas,Nicolau
reed,junco
verdict,veredito
drake,drake
connections,conexões
privilege,privilégio
scent,aroma
naive,ingênuo
daylight,luz do dia
controls,controles
airplane,avião
values,valores
jolly,alegre
swore,jurou
blaring,estridente
consent,consentimento
puzzle,quebra-cabeça
disagree,discordo
argh,argh
winds,ventos
vanished,desapareceu
wizard,mago
ranger,guarda-florestal
celebrity,celebridade
sniffles,fungadelas
stores,lojas
aha,ahá
intentions,intenções
plague,praga
farmers,agricultores
breeze,brisa
rascal,patife
convenient,conveniente
bonus,bônus
dong,dong
hush,silêncio
instinct,instinto
entitled,intitulado
